epoch,loss,data_loss,pde_loss,loss_E_bc,loss_dE_bc
0,1193.2900390625,0.20744840800762177,1193.2900390625,1.7679133712533712e-09,7.593539521622006e-06
1,389.11468505859375,0.22118234634399414,389.11468505859375,2.4768322948176547e-09,9.864526873570867e-06
2,641.05224609375,0.22192518413066864,641.05224609375,1.6882633069315034e-09,7.574084975203732e-06
3,398.90069580078125,0.2156457155942917,398.90069580078125,1.2038136043557301e-09,8.747970241529401e-06
4,203.9967803955078,0.20609726011753082,203.99676513671875,1.3713263857795255e-09,8.713022907613777e-06
5,138.673583984375,0.20412778854370117,138.67356872558594,1.292291607057905e-09,1.2709891052509192e-05
6,151.59658813476562,0.2059229612350464,151.59658813476562,5.094440980180082e-10,3.0355779472301947e-06
7,182.97125244140625,0.21002526581287384,182.9712371826172,8.039908183654632e-10,9.655888788984157e-06
8,176.277587890625,0.20891523361206055,176.277587890625,4.714850176945617e-10,4.321739197621355e-06
9,178.32411193847656,0.2106601446866989,178.3240966796875,7.831333914687377e-10,8.24572180135874e-06
10,159.35031127929688,0.21201466023921967,159.35031127929688,5.988782247889901e-10,6.545058113260893e-06
11,122.01099395751953,0.20621179044246674,122.010986328125,5.509783740365037e-10,5.670870450558141e-06
12,93.09700012207031,0.20621539652347565,93.09700012207031,3.199638054507403e-10,1.8012195823757793e-06
13,61.449241638183594,0.20738446712493896,61.44923782348633,4.2668518718258497e-10,4.006411018053768e-06
14,41.214996337890625,0.20423024892807007,41.21499252319336,2.393071296680205e-10,2.181767513320665e-06
15,44.442691802978516,0.20383815467357635,44.44268798828125,3.4391417491619336e-10,3.572763944248436e-06
16,59.81153869628906,0.20987842977046967,59.81153106689453,4.635133665775726e-10,8.015643288672436e-06
17,77.97154998779297,0.20605780184268951,77.97154235839844,2.358885031750191e-10,4.393137260194635e-06
18,75.14977264404297,0.20689606666564941,75.14977264404297,2.207048432900649e-10,2.7826497444038978e-06
19,79.62969207763672,0.20694087445735931,79.62968444824219,4.386523644317464e-10,9.021227924677078e-06
20,63.51418685913086,0.2005702704191208,63.514183044433594,2.1133807204254396e-10,4.517711204243824e-06
21,49.87081527709961,0.20618510246276855,49.870811462402344,2.342799287902153e-10,2.3722307105344953e-06
22,42.83071517944336,0.2052934318780899,42.830711364746094,2.9753144392685726e-10,3.517451204970712e-06
23,39.519073486328125,0.20734167098999023,39.51906967163086,1.9380284876913123e-10,3.6444962461246178e-06
24,37.007057189941406,0.2065233588218689,37.00705337524414,2.316561803494821e-10,3.5398832096689148e-06
25,36.35141372680664,0.20634086430072784,36.351409912109375,2.3329546627870457e-10,2.8571018901857315e-06
26,39.230831146240234,0.2127891182899475,39.23082733154297,2.9427565939599276e-10,3.939519956475124e-06
27,44.9830436706543,0.20896661281585693,44.98303985595703,1.9349194468887276e-10,2.664132125573815e-06
28,42.48456954956055,0.20963378250598907,42.48456573486328,1.492048706808191e-10,3.150921884298441e-06
29,43.55785369873047,0.21152536571025848,43.5578498840332,2.3780130642414576e-10,3.3589324175409274e-06
30,41.623130798339844,0.20771820843219757,41.62312698364258,2.0714312209957342e-10,2.058361133094877e-06
31,38.30311584472656,0.2102198749780655,38.30311584472656,1.4170545292735426e-10,1.8257312603964237e-06
32,33.830535888671875,0.20623333752155304,33.83053207397461,1.9514755089655722e-10,2.704430698940996e-06
33,30.922954559326172,0.20647840201854706,30.92295265197754,2.1385525295070096e-10,2.426736728011747e-06
34,28.504695892333984,0.20846621692180634,28.50469207763672,3.154171090979929e-10,4.209990493109217e-06
35,25.812984466552734,0.2090802639722824,25.812978744506836,2.908064899997953e-10,5.769071321992669e-06
36,25.2263126373291,0.20925569534301758,25.22631072998047,1.7174907329664535e-10,2.0327263428043807e-06
37,24.325279235839844,0.21053381264209747,24.325275421142578,2.808427379541456e-10,3.6583719520422164e-06
38,24.862520217895508,0.20953911542892456,24.862516403198242,2.0893635432894797e-10,3.3855560559459263e-06
39,30.841064453125,0.20560698211193085,30.841060638427734,2.872290461031213e-10,4.711012479674537e-06
40,27.470691680908203,0.20498144626617432,27.470687866210938,2.782878649743026e-10,4.564305982057704e-06
41,29.23943519592285,0.2048421949148178,29.239431381225586,2.0705846759394575e-10,3.624089686127263e-06
42,23.92205810546875,0.21180273592472076,23.922054290771484,2.3525623116249506e-10,4.466756308829645e-06
43,29.057641983032227,0.20856888592243195,29.057640075683594,1.8043662397548843e-10,2.7018265882361447e-06
44,23.597103118896484,0.20721817016601562,23.59709930419922,1.9398257999903024e-10,2.914144715759903e-06
45,20.647188186645508,0.21327196061611176,20.647186279296875,2.807629961854019e-10,2.673245489859255e-06
46,20.86680030822754,0.20677350461483002,20.866798400878906,1.9884384416801737e-10,2.5532281142659485e-06
47,20.958471298217773,0.20867814123630524,20.95846939086914,1.1418071349522663e-10,1.431788859918015e-06
48,22.20768165588379,0.20570434629917145,22.207679748535156,1.1267993482722005e-10,1.153537368736579e-06
49,18.495357513427734,0.210271954536438,18.49535369873047,2.5769025802091505e-10,3.2376328817917965e-06
50,18.977224349975586,0.2071215659379959,18.977222442626953,1.2106093905117632e-10,1.478375452279579e-06
51,20.306882858276367,0.20754112303256989,20.3068790435791,2.2326332449473796e-10,3.134229700663127e-06
52,19.89337921142578,0.2067732959985733,19.893375396728516,2.9555130565128707e-10,4.678086497733602e-06
53,19.7532901763916,0.20329202711582184,19.753286361694336,1.5565894406766034e-10,3.1525810300081503e-06
54,17.681718826293945,0.20951659977436066,17.68171501159668,1.8415224900536487e-10,2.998908030349412e-06
55,14.963895797729492,0.20809762179851532,14.963892936706543,1.6440658556771126e-10,2.6121897462871857e-06
56,18.622434616088867,0.20743125677108765,18.622432708740234,2.00790301052578e-10,2.6858392629947048e-06
57,19.34889030456543,0.2000378966331482,19.348888397216797,1.2220913170324366e-10,1.8320743038202636e-06
58,15.59489917755127,0.20582544803619385,15.59489631652832,1.1597293958498511e-10,2.524879391785362e-06
59,14.994945526123047,0.2012292891740799,14.994943618774414,1.4526949088100594e-10,1.8555158476374345e-06
60,15.170534133911133,0.20406317710876465,15.1705322265625,1.3459304504248593e-10,2.325340119568864e-06
61,14.120487213134766,0.20605351030826569,14.120484352111816,1.471197469404828e-10,3.0488520224025706e-06
62,13.15477466583252,0.20420114696025848,13.154772758483887,1.9751202062767703e-10,2.185593984904699e-06
63,14.672630310058594,0.20357555150985718,14.672627449035645,2.3374654989360977e-10,3.3221290323126595e-06
64,11.596446990966797,0.20841817557811737,11.59644603729248,1.132978710849386e-10,1.3717161664317246e-06
65,12.183265686035156,0.20475830137729645,12.183262825012207,1.765894236394061e-10,2.906216877818224e-06
66,10.606466293334961,0.2052001953125,10.606464385986328,1.301702773348623e-10,2.1373116396716796e-06
67,10.60082721710205,0.20646457374095917,10.600824356079102,2.1297337504666558e-10,3.143461526633473e-06
68,9.627666473388672,0.21280591189861298,9.627665519714355,1.0801488870004761e-10,1.1955705758737167e-06
69,10.461469650268555,0.20431233942508698,10.461467742919922,1.6375603650864434e-10,1.99923283616954e-06
70,9.289342880249023,0.20864073932170868,9.28934097290039,1.9998080968974818e-10,2.0929046513629146e-06
71,9.287759780883789,0.2070990949869156,9.287755966186523,2.0058404937017826e-10,4.192911092104623e-06
72,8.614950180053711,0.20385444164276123,8.614946365356445,2.1364374158672206e-10,3.712904572239495e-06
73,8.103404998779297,0.2078559845685959,8.103403091430664,1.1201250343928493e-10,1.8051950974040665e-06
74,7.635684490203857,0.20905165374279022,7.635682106018066,1.362906038027134e-10,2.2642454950982938e-06
75,6.592172145843506,0.20673441886901855,6.592168807983398,1.9150665775402587e-10,3.1590786875312915e-06
76,6.636186599731445,0.20408977568149567,6.636185169219971,1.5608413173051616e-10,1.371037228636851e-06
77,7.144941329956055,0.2055114060640335,7.144940376281738,1.0868488053983327e-10,9.714165116747608e-07
